'sample interval','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
61,0.052,-0.501,-0.552,0.224,0.302,-0.526,0.218,0.262,0.589,0.509,0.611,0.560,0.149,-0.713,-0.051
62,0.045,-0.501,-0.546,0.228,0.296,-0.523,0.221,0.256,0.588,0.508,0.608,0.557,0.147,-0.710,-0.051
63,0.043,-0.508,-0.551,0.232,0.297,-0.530,0.215,0.251,0.581,0.504,0.603,0.553,0.149,-0.715,-0.050
64,0.037,-0.507,-0.544,0.234,0.291,-0.526,0.221,0.260,0.587,0.509,0.607,0.555,0.152,-0.711,-0.051
65,0.044,-0.505,-0.549,0.230,0.297,-0.527,0.222,0.263,0.588,0.509,0.608,0.556,0.148,-0.716,-0.049
66,0.055,-0.491,-0.546,0.217,0.301,-0.519,0.215,0.255,0.580,0.500,0.601,0.552,0.150,-0.703,-0.051
67,0.052,-0.487,-0.538,0.217,0.295,-0.513,0.212,0.252,0.581,0.500,0.600,0.550,0.152,-0.701,-0.052
68,0.043,-0.492,-0.535,0.225,0.289,-0.514,0.211,0.254,0.580,0.500,0.600,0.549,0.150,-0.709,-0.050
69,0.044,-0.492,-0.537,0.224,0.291,-0.515,0.210,0.254,0.581,0.501,0.598,0.549,0.153,-0.711,-0.046
70,0.045,-0.499,-0.544,0.227,0.295,-0.522,0.213,0.251,0.579,0.503,0.599,0.548,0.149,-0.714,-0.045
71,0.048,-0.503,-0.550,0.227,0.299,-0.527,0.214,0.252,0.579,0.502,0.598,0.546,0.146,-0.710,-0.046
72,0.056,-0.503,-0.558,0.223,0.306,-0.530,0.211,0.255,0.584,0.504,0.598,0.549,0.148,-0.712,-0.048
73,0.052,-0.503,-0.555,0.225,0.303,-0.529,0.215,0.254,0.584,0.504,0.600,0.550,0.147,-0.712,-0.050
74,0.049,-0.503,-0.552,0.227,0.300,-0.527,0.213,0.254,0.584,0.503,0.600,0.549,0.146,-0.721,-0.049
75,0.046,-0.508,-0.554,0.230,0.300,-0.531,0.212,0.253,0.582,0.500,0.598,0.549,0.143,-0.721,-0.047
76,0.045,-0.517,-0.561,0.235,0.303,-0.539,0.220,0.254,0.584,0.502,0.598,0.550,0.141,-0.718,-0.047
77,0.042,-0.520,-0.561,0.238,0.301,-0.540,0.221,0.256,0.584,0.504,0.598,0.549,0.141,-0.727,-0.046
78,0.040,-0.519,-0.559,0.239,0.300,-0.539,0.218,0.253,0.581,0.502,0.600,0.550,0.141,-0.735,-0.044
79,0.041,-0.517,-0.557,0.237,0.299,-0.537,0.218,0.256,0.583,0.506,0.601,0.550,0.142,-0.725,-0.048
80,0.038,-0.514,-0.552,0.237,0.295,-0.533,0.216,0.258,0.586,0.507,0.602,0.549,0.143,-0.715,-0.049
81,0.045,-0.506,-0.550,0.230,0.298,-0.528,0.215,0.255,0.584,0.505,0.603,0.552,0.144,-0.723,-0.049
82,0.040,-0.505,-0.544,0.232,0.292,-0.524,0.218,0.255,0.582,0.505,0.602,0.551,0.142,-0.714,-0.049
83,0.042,-0.506,-0.548,0.232,0.295,-0.527,0.211,0.251,0.584,0.507,0.603,0.550,0.143,-0.716,-0.049
84,0.050,-0.503,-0.553,0.226,0.302,-0.528,0.207,0.249,0.580,0.503,0.604,0.552,0.146,-0.719,-0.049
85,0.040,-0.509,-0.547,0.234,0.293,-0.528,0.216,0.252,0.581,0.502,0.606,0.553,0.141,-0.711,-0.050
86,0.036,-0.498,-0.534,0.231,0.285,-0.516,0.220,0.249,0.583,0.504,0.606,0.553,0.141,-0.710,-0.053
87,0.041,-0.488,-0.529,0.223,0.285,-0.509,0.215,0.252,0.579,0.502,0.607,0.553,0.144,-0.703,-0.052
88,0.050,-0.489,-0.538,0.219,0.294,-0.513,0.211,0.246,0.576,0.501,0.608,0.555,0.150,-0.706,-0.049
89,0.049,-0.495,-0.543,0.223,0.296,-0.519,0.210,0.244,0.572,0.499,0.606,0.553,0.149,-0.710,-0.050
90,0.046,-0.502,-0.549,0.228,0.298,-0.526,0.212,0.246,0.576,0.499,0.607,0.554,0.149,-0.712,-0.051
91,0.045,-0.507,-0.552,0.231,0.299,-0.530,0.220,0.250,0.582,0.506,0.610,0.558,0.152,-0.719,-0.050
92,0.035,-0.516,-0.550,0.240,0.292,-0.533,0.223,0.254,0.583,0.507,0.610,0.559,0.150,-0.719,-0.049
93,0.029,-0.520,-0.550,0.245,0.290,-0.535,0.219,0.247,0.579,0.502,0.605,0.555,0.149,-0.710,-0.047
94,0.037,-0.515,-0.551,0.238,0.294,-0.533,0.221,0.248,0.579,0.502,0.604,0.554,0.149,-0.704,-0.049
95,0.047,-0.510,-0.557,0.231,0.302,-0.534,0.220,0.246,0.579,0.501,0.606,0.556,0.149,-0.707,-0.050
96,0.044,-0.517,-0.561,0.236,0.303,-0.539,0.217,0.248,0.581,0.503,0.609,0.557,0.150,-0.715,-0.048
97,0.043,-0.520,-0.562,0.238,0.302,-0.541,0.218,0.251,0.580,0.504,0.606,0.555,0.150,-0.725,-0.047
98,0.048,-0.517,-0.565,0.234,0.306,-0.541,0.217,0.251,0.580,0.505,0.603,0.554,0.150,-0.730,-0.046
99,0.052,-0.513,-0.565,0.230,0.308,-0.539,0.217,0.255,0.583,0.506,0.605,0.554,0.151,-0.724,-0.048
100,0.054,-0.513,-0.568,0.229,0.311,-0.540,0.214,0.250,0.580,0.503,0.604,0.551,0.148,-0.720,-0.049
101,0.041,-0.513,-0.553,0.235,0.297,-0.533,0.217,0.249,0.578,0.501,0.603,0.549,0.145,-0.720,-0.048
102,0.038,-0.510,-0.547,0.235,0.293,-0.529,0.215,0.245,0.576,0.498,0.600,0.547,0.143,-0.716,-0.046
103,0.034,-0.511,-0.544,0.238,0.289,-0.527,0.220,0.249,0.581,0.502,0.603,0.550,0.142,-0.713,-0.047
104,0.026,-0.513,-0.539,0.242,0.283,-0.526,0.226,0.254,0.581,0.505,0.604,0.552,0.140,-0.718,-0.050
105,0.033,-0.517,-0.549,0.241,0.291,-0.533,0.221,0.251,0.578,0.500,0.599,0.548,0.138,-0.730,-0.047
106,0.037,-0.510,-0.547,0.236,0.292,-0.529,0.217,0.248,0.577,0.497,0.598,0.545,0.138,-0.720,-0.046
107,0.040,-0.505,-0.545,0.232,0.293,-0.525,0.216,0.244,0.573,0.494,0.596,0.544,0.138,-0.707,-0.049
108,0.040,-0.504,-0.543,0.232,0.291,-0.524,0.217,0.245,0.574,0.495,0.597,0.546,0.138,-0.710,-0.047
109,0.037,-0.506,-0.543,0.234,0.290,-0.524,0.213,0.244,0.574,0.498,0.599,0.546,0.138,-0.717,-0.045
110,0.043,-0.510,-0.553,0.233,0.298,-0.532,0.213,0.248,0.575,0.497,0.600,0.546,0.139,-0.719,-0.046
111,0.056,-0.511,-0.566,0.227,0.311,-0.538,0.215,0.250,0.576,0.495,0.600,0.548,0.140,-0.717,-0.045
112,0.056,-0.515,-0.570,0.229,0.313,-0.542,0.212,0.241,0.570,0.491,0.600,0.547,0.138,-0.719,-0.044
113,0.053,-0.511,-0.565,0.228,0.309,-0.538,0.210,0.241,0.567,0.491,0.600,0.547,0.140,-0.722,-0.045
114,0.045,-0.509,-0.553,0.231,0.299,-0.531,0.212,0.243,0.571,0.492,0.599,0.549,0.139,-0.722,-0.044
115,0.039,-0.514,-0.552,0.237,0.296,-0.533,0.214,0.245,0.572,0.494,0.597,0.549,0.135,-0.718,-0.045
116,0.038,-0.522,-0.560,0.241,0.300,-0.541,0.216,0.251,0.575,0.498,0.599,0.550,0.135,-0.722,-0.044
117,0.037,-0.528,-0.566,0.245,0.301,-0.547,0.215,0.247,0.574,0.498,0.598,0.550,0.136,-0.722,-0.042
118,0.046,-0.526,-0.573,0.239,0.309,-0.549,0.212,0.244,0.571,0.495,0.597,0.549,0.140,-0.716,-0.042
119,0.046,-0.524,-0.570,0.238,0.308,-0.546,0.206,0.241,0.574,0.497,0.598,0.550,0.141,-0.715,-0.043
120,0.051,-0.514,-0.565,0.232,0.308,-0.539,0.200,0.238,0.572,0.496,0.599,0.551,0.142,-0.720,-0.042
121,0.054,-0.503,-0.556,0.224,0.305,-0.530,0.204,0.241,0.570,0.493,0.601,0.553,0.142,-0.721,-0.043
122,0.042,-0.499,-0.540,0.229,0.291,-0.519,0.204,0.240,0.573,0.496,0.604,0.554,0.143,-0.715,-0.043
123,0.046,-0.498,-0.544,0.226,0.295,-0.521,0.199,0.238,0.570,0.495,0.603,0.555,0.145,-0.711,-0.043
124,0.047,-0.504,-0.550,0.228,0.299,-0.527,0.203,0.238,0.569,0.495,0.601,0.553,0.144,-0.708,-0.045
125,0.042,-0.504,-0.545,0.230,0.294,-0.524,0.209,0.239,0.572,0.495,0.601,0.554,0.143,-0.705,-0.044
126,0.044,-0.499,-0.543,0.227,0.294,-0.521,0.208,0.240,0.572,0.497,0.602,0.556,0.145,-0.707,-0.044
127,0.043,-0.495,-0.538,0.226,0.291,-0.517,0.206,0.237,0.568,0.494,0.603,0.557,0.144,-0.706,-0.045
128,0.049,-0.496,-0.544,0.223,0.297,-0.520,0.209,0.234,0.569,0.491,0.602,0.556,0.145,-0.708,-0.044
129,0.049,-0.501,-0.549,0.226,0.299,-0.525,0.211,0.237,0.570,0.494,0.602,0.556,0.146,-0.711,-0.043
130,0.038,-0.507,-0.545,0.234,0.292,-0.526,0.214,0.241,0.570,0.495,0.606,0.560,0.145,-0.711,-0.044
131,0.036,-0.514,-0.550,0.238,0.293,-0.532,0.218,0.242,0.574,0.499,0.609,0.562,0.147,-0.714,-0.043
132,0.038,-0.516,-0.554,0.238,0.296,-0.535,0.219,0.243,0.577,0.501,0.611,0.565,0.151,-0.719,-0.041
133,0.044,-0.517,-0.560,0.236,0.302,-0.539,0.215,0.243,0.575,0.500,0.610,0.563,0.150,-0.723,-0.043
134,0.051,-0.513,-0.564,0.230,0.307,-0.538,0.214,0.243,0.573,0.496,0.607,0.562,0.148,-0.727,-0.043
135,0.048,-0.514,-0.561,0.232,0.305,-0.537,0.213,0.240,0.573,0.496,0.607,0.560,0.144,-0.731,-0.043
136,0.043,-0.523,-0.566,0.240,0.304,-0.544,0.214,0.244,0.579,0.503,0.611,0.563,0.143,-0.730,-0.043
137,0.046,-0.524,-0.571,0.238,0.308,-0.547,0.213,0.244,0.578,0.502,0.613,0.566,0.143,-0.730,-0.042
138,0.043,-0.525,-0.569,0.240,0.306,-0.547,0.208,0.239,0.575,0.501,0.611,0.562,0.142,-0.730,-0.043
139,0.037,-0.525,-0.561,0.243,0.299,-0.543,0.218,0.244,0.579,0.502,0.609,0.562,0.143,-0.724,-0.044
140,0.046,-0.515,-0.561,0.234,0.304,-0.538,0.210,0.241,0.572,0.494,0.604,0.556,0.142,-0.727,-0.041
141,0.049,-0.511,-0.559,0.231,0.304,-0.535,0.207,0.238,0.568,0.490,0.601,0.552,0.141,-0.726,-0.041
142,0.044,-0.507,-0.551,0.231,0.298,-0.529,0.213,0.237,0.568,0.489,0.599,0.551,0.142,-0.718,-0.043
143,0.045,-0.507,-0.552,0.230,0.299,-0.530,0.206,0.234,0.568,0.489,0.598,0.550,0.146,-0.717,-0.039
144,0.047,-0.508,-0.554,0.230,0.301,-0.531,0.206,0.236,0.567,0.489,0.597,0.550,0.145,-0.716,-0.040
145,0.050,-0.504,-0.554,0.226,0.302,-0.529,0.198,0.233,0.565,0.486,0.595,0.548,0.144,-0.721,-0.042
146,0.046,-0.499,-0.545,0.226,0.296,-0.522,0.203,0.232,0.562,0.484,0.593,0.547,0.145,-0.717,-0.040
147,0.043,-0.492,-0.535,0.225,0.289,-0.514,0.208,0.232,0.561,0.482,0.592,0.546,0.145,-0.709,-0.040
148,0.045,-0.491,-0.536,0.223,0.291,-0.514,0.204,0.229,0.561,0.483,0.592,0.545,0.147,-0.713,-0.038
149,0.043,-0.490,-0.533,0.223,0.288,-0.511,0.206,0.231,0.564,0.485,0.593,0.545,0.145,-0.705,-0.039
150,0.040,-0.496,-0.535,0.228,0.288,-0.515,0.204,0.230,0.564,0.485,0.592,0.545,0.142,-0.707,-0.040
151,0.041,-0.505,-0.545,0.232,0.293,-0.525,0.207,0.230,0.564,0.487,0.594,0.544,0.142,-0.712,-0.038
152,0.041,-0.508,-0.549,0.233,0.295,-0.529,0.209,0.235,0.569,0.490,0.596,0.545,0.142,-0.714,-0.040
153,0.038,-0.510,-0.548,0.235,0.294,-0.529,0.208,0.235,0.567,0.489,0.594,0.542,0.141,-0.714,-0.042
154,0.039,-0.507,-0.545,0.234,0.292,-0.526,0.212,0.234,0.565,0.489,0.593,0.542,0.142,-0.710,-0.041
155,0.049,-0.505,-0.553,0.228,0.301,-0.529,0.212,0.234,0.567,0.491,0.596,0.543,0.142,-0.727,-0.041
156,0.041,-0.520,-0.561,0.239,0.301,-0.541,0.210,0.233,0.566,0.492,0.596,0.544,0.141,-0.722,-0.041
157,0.028,-0.528,-0.555,0.249,0.292,-0.542,0.211,0.234,0.567,0.492,0.597,0.545,0.139,-0.720,-0.040
158,0.041,-0.514,-0.555,0.236,0.298,-0.534,0.216,0.238,0.572,0.495,0.600,0.548,0.140,-0.724,-0.042
159,0.045,-0.512,-0.557,0.233,0.302,-0.534,0.215,0.237,0.571,0.494,0.599,0.549,0.141,-0.715,-0.044
160,0.041,-0.510,-0.550,0.234,0.295,-0.530,0.213,0.234,0.570,0.493,0.597,0.546,0.139,-0.711,-0.043
161,0.040,-0.505,-0.544,0.232,0.292,-0.525,0.211,0.234,0.570,0.493,0.595,0.545,0.138,-0.705,-0.043
162,0.040,-0.501,-0.541,0.230,0.290,-0.521,0.208,0.234,0.565,0.489,0.595,0.543,0.136,-0.709,-0.043
163,0.046,-0.499,-0.545,0.226,0.296,-0.522,0.208,0.229,0.560,0.488,0.593,0.544,0.135,-0.711,-0.042
164,0.050,-0.506,-0.555,0.228,0.302,-0.531,0.207,0.228,0.561,0.487,0.591,0.545,0.138,-0.712,-0.041
165,0.045,-0.504,-0.549,0.229,0.297,-0.527,0.210,0.232,0.564,0.488,0.593,0.546,0.138,-0.714,-0.043
166,0.049,-0.498,-0.546,0.224,0.298,-0.522,0.208,0.231,0.564,0.489,0.593,0.546,0.138,-0.717,-0.044
167,0.054,-0.493,-0.546,0.219,0.300,-0.520,0.206,0.231,0.564,0.488,0.593,0.545,0.139,-0.708,-0.044
168,0.045,-0.494,-0.539,0.224,0.292,-0.517,0.207,0.231,0.564,0.488,0.593,0.545,0.136,-0.701,-0.044
169,0.040,-0.499,-0.539,0.229,0.290,-0.519,0.206,0.231,0.562,0.487,0.590,0.542,0.131,-0.702,-0.044
170,0.051,-0.495,-0.545,0.222,0.298,-0.520,0.204,0.231,0.562,0.488,0.591,0.542,0.133,-0.705,-0.044
171,0.051,-0.500,-0.550,0.224,0.301,-0.525,0.204,0.230,0.562,0.490,0.592,0.545,0.137,-0.721,-0.041
172,0.041,-0.509,-0.550,0.234,0.296,-0.530,0.207,0.225,0.556,0.485,0.589,0.542,0.135,-0.717,-0.038
173,0.046,-0.503,-0.549,0.228,0.298,-0.526,0.207,0.231,0.561,0.486,0.589,0.542,0.134,-0.709,-0.042
174,0.040,-0.503,-0.542,0.231,0.291,-0.523,0.207,0.236,0.566,0.489,0.590,0.542,0.136,-0.714,-0.042
175,0.027,-0.512,-0.539,0.241,0.283,-0.525,0.208,0.234,0.562,0.487,0.587,0.541,0.134,-0.719,-0.039
176,0.035,-0.514,-0.548,0.239,0.291,-0.531,0.210,0.239,0.568,0.491,0.591,0.546,0.134,-0.730,-0.038
177,0.043,-0.514,-0.556,0.235,0.300,-0.535,0.211,0.236,0.568,0.493,0.595,0.549,0.136,-0.733,-0.039
178,0.048,-0.508,-0.556,0.229,0.302,-0.532,0.208,0.235,0.566,0.492,0.594,0.550,0.140,-0.719,-0.040
179,0.046,-0.502,-0.548,0.228,0.297,-0.525,0.209,0.237,0.567,0.496,0.596,0.552,0.139,-0.712,-0.041
180,0.043,-0.502,-0.545,0.229,0.295,-0.524,0.204,0.232,0.565,0.490,0.593,0.548,0.133,-0.716,-0.043
181,0.039,-0.498,-0.537,0.229,0.288,-0.518,0.207,0.231,0.561,0.488,0.592,0.545,0.132,-0.709,-0.045
182,0.041,-0.491,-0.531,0.224,0.286,-0.511,0.211,0.234,0.563,0.489,0.593,0.547,0.134,-0.703,-0.046
183,0.046,-0.489,-0.535,0.221,0.291,-0.512,0.211,0.235,0.567,0.492,0.594,0.547,0.136,-0.706,-0.046
184,0.043,-0.499,-0.542,0.227,0.293,-0.520,0.210,0.237,0.567,0.493,0.595,0.548,0.141,-0.714,-0.043
185,0.040,-0.502,-0.541,0.231,0.290,-0.521,0.207,0.234,0.563,0.486,0.593,0.548,0.142,-0.712,-0.041
186,0.043,-0.496,-0.538,0.226,0.291,-0.517,0.207,0.233,0.565,0.485,0.591,0.548,0.142,-0.716,-0.043
187,0.055,-0.494,-0.549,0.219,0.302,-0.522,0.204,0.233,0.564,0.486,0.593,0.550,0.146,-0.717,-0.041
188,0.045,-0.495,-0.541,0.225,0.293,-0.518,0.208,0.232,0.563,0.485,0.593,0.551,0.148,-0.702,-0.041
189,0.039,-0.498,-0.537,0.229,0.288,-0.518,0.206,0.233,0.565,0.486,0.596,0.553,0.151,-0.709,-0.036
190,0.042,-0.502,-0.543,0.230,0.292,-0.522,0.205,0.233,0.564,0.484,0.594,0.551,0.145,-0.712,-0.036
191,0.045,-0.509,-0.553,0.232,0.299,-0.531,0.208,0.230,0.561,0.483,0.590,0.548,0.141,-0.716,-0.037
192,0.042,-0.514,-0.555,0.235,0.299,-0.534,0.208,0.231,0.562,0.483,0.592,0.549,0.143,-0.716,-0.035
193,0.042,-0.513,-0.554,0.235,0.298,-0.533,0.203,0.231,0.562,0.481,0.592,0.549,0.142,-0.715,-0.035
194,0.050,-0.508,-0.557,0.229,0.303,-0.532,0.201,0.233,0.561,0.484,0.593,0.549,0.145,-0.718,-0.036
195,0.048,-0.505,-0.552,0.228,0.300,-0.529,0.211,0.234,0.563,0.485,0.594,0.551,0.144,-0.710,-0.037
196,0.045,-0.517,-0.561,0.235,0.303,-0.539,0.209,0.235,0.564,0.485,0.596,0.553,0.143,-0.719,-0.036
197,0.037,-0.524,-0.560,0.243,0.299,-0.542,0.208,0.232,0.561,0.482,0.595,0.552,0.142,-0.722,-0.036
198,0.038,-0.520,-0.558,0.240,0.299,-0.539,0.203,0.232,0.562,0.483,0.593,0.552,0.143,-0.720,-0.035
199,0.037,-0.519,-0.556,0.240,0.297,-0.538,0.197,0.232,0.562,0.483,0.596,0.552,0.143,-0.721,-0.035
200,0.039,-0.511,-0.549,0.235,0.294,-0.530,0.203,0.232,0.561,0.482,0.595,0.552,0.141,-0.720,-0.036
201,0.057,-0.496,-0.552,0.219,0.304,-0.524,0.205,0.233,0.560,0.483,0.594,0.553,0.147,-0.720,-0.037
202,0.055,-0.491,-0.546,0.217,0.300,-0.519,0.203,0.230,0.553,0.479,0.593,0.550,0.146,-0.713,-0.038
203,0.057,-0.489,-0.546,0.215,0.301,-0.518,0.199,0.228,0.552,0.478,0.591,0.546,0.140,-0.707,-0.042
204,0.059,-0.494,-0.553,0.217,0.306,-0.524,0.202,0.230,0.560,0.480,0.592,0.546,0.138,-0.707,-0.044
205,0.038,-0.502,-0.540,0.232,0.289,-0.521,0.202,0.228,0.562,0.483,0.590,0.544,0.135,-0.717,-0.043
